"word","freq"
"ability",70
"abstract",24
"academic",45
"acceptable",40
"access",31
"accommodation",28
"achieve",45
"achieved",24
"act",25
"action",38
"active",29
"activities",71
"activity",66
"ad",28
"adapted",26
"added",26
"addition",46
"adults",39
"advantage",28
"advantages",41
"affect",38
"affected",33
"affects",24
"age",73
"ages",36
"ago",60
"agricultural",32
"agriculture",39
"aim",45
"air",65
"allowed",47
"amount",61
"analysis",43
"ancient",86
"animal",65
"animals",134
"ants",66
"approach",91
"archaeological",30
"argued",27
"arrived",25
"art",183
"artists",28
"aspects",53
"atmosphere",26
"attention",59
"attitudes",27
"audience",31
"automated",30
"average",57
"avoid",35
"aware",28
"babies",48
"baby",50
"background",29
"band",42
"bark",30
"basic",39
"beginning",35
"believed",27
"believes",35
"benefit",31
"benefits",52
"bike",56
"bikes",31
"bilingual",62
"birds",45
"board",44
"body",29
"book",57
"books",56
"boredom",81
"bought",31
"box",69
"brain",90
"brains",39
"bring",57
"bringing",24
"brought",29
"build",29
"building",113
"buildings",53
"built",55
"business",135
"businesses",85
"buy",50
"buying",24
"called",103
"canal",24
"car",52
"carbon",60
"career",35
"carried",51
"cars",44
"castle",24
"category",31
"caused",47
"cc",30
"central",26
"centuries",35
"century",194
"chance",25
"change",135
"changed",40
"changing",34
"chart",28
"chemical",25
"child",106
"children",283
"china",37
"chlorophyll",24
"choice",24
"cinnamon",56
"cities",76
"city",101
"claims",77
"climate",62
"close",35
"coast",26
"coconut",42
"coconuts",26
"coffee",51
"colleagues",35
"collecting",45
"collection",32
"collectors",24
"college",27
"commercial",25
"common",46
"communication",40
"companies",70
"company",130
"compared",46
"comparisons",46
"complex",38
"compounds",42
"computer",49
"conditions",93
"conservation",25
"construction",27
"consumers",37
"contact",28
"context",25
"continue",27
"control",67
"cork",72
"cost",50
"costs",28
"council",37
"countries",85
"country",99
"create",55
"created",47
"creating",24
"creative",32
"creativity",26
"crops",29
"culture",35
"current",27
"customers",30
"damage",34
"data",65
"date",28
"day",130
"days",56
"deal",31
"debris",44
"decades",31
"decline",32
"deep",28
"definition",24
"demand",29
"describe",50
"description",25
"design",83
"designed",43
"details",43
"develop",58
"developed",67
"developing",52
"development",98
"developments",26
"device",33
"difference",34
"difficult",64
"discovered",41
"discovery",34
"discuss",36
"discussion",66
"disease",59
"diseases",31
"display",26
"dominant",24
"don",52
"driving",30
"due",46
"dutch",69
"east",27
"easy",39
"economic",48
"education",32
"effect",51
"effects",76
"efforts",25
"emissions",27
"emotional",28
"emotions",35
"employees",62
"encourage",28
"encouraged",27
"energy",89
"engineering",42
