"word","freq"
"aah",2
"ab",6
"abandon",8
"abandoned",18
"abbey",1
"abbreviations",1
"abilities",15
"abject",1
"aboard",2
"abolish",2
"abolished",2
"abroad",14
"abrupt",2
"absence",8
"absent",6
"absolutely",2
"absorb",6
"absorbed",7
"absorbing",5
"absurd",2
"absurdity",1
"abundance",2
"abundant",6
"ac",4
"academics",6
"academy",4
"accelerated",1
"acceleration",1
"accept",22
"acceptance",6
"accepted",6
"accesses",2
"accessible",7
"accident",2
"accidentally",4
"accidents",7
"acclaim",2
"acclaimed",1
"accommodate",3
"accompanied",6
"accompanying",4
"accomplish",6
"accomplished",8
"accomplishment",5
"accomplishments",2
"accordance",2
"account",19
"accountancy",1
"accountant",4
"accounting",4
"accounts",7
"accumulate",4
"accuracy",8
"accurate",20
"accurately",2
"ace",6
"achievable",4
"achievement",16
"achievements",10
"achievers",8
"achieves",3
"achieving",3
"acidic",2
"acknowledge",1
"acknowledging",1
"acoustic",7
"acoustics",4
"acquire",10
"acquired",3
"acquisition",2
"acreage",2
"acres",6
"acted",3
"acting",3
"actions",13
"activate",4
"activated",6
"activates",4
"activation",17
"actively",12
"activists",2
"actor",16
"actor's",1
"actors",4
"acts",11
"actual",16
"acute",2
"adapt",6
"adaptability",2
"adaptable",2
"adaptation",6
"adaptations",12
"adapting",6
"adaptive",4
"adapts",2
"add",17
"addictive",2
"adding",4
"additional",8
"additive",2
"additives",2
"address",23
"addressed",6
"addresses",3
"addressing",6
"adds",16
"adept",5
"adequate",13
"adequately",2
"adj",1
"adjoining",1
"adjunct",2
"adjust",4
"adjustable",1
"adjusting",2
"adjustment",1
"adjustments",2
"admin",4
"administer",2
"administering",2
"administers",1
"administration",7
"administrative",4
"administrator",1
"administrators",2
"admirable",3
"admiration",2
"admire",2
"admired",1
"admission",7
"ado",2
"adolescents",2
"adopt",9
"adopted",4
"adoption",2
"ads",1
"adult",22
"advance",9
"advanced",10
"advancement",2
"advances",12
"advancing",2
"advent",3
"adventure",8
"adventurer",1
"adventurers",2
"adventures",2
"adverse",2
"advertised",4
"advertisements",6
"advertising",20
"adverts",1
"advice",19
"advise",3
"advised",3
"advisers",2
"advises",7
"advising",2
"advisor",5
"advocate",2
"advocated",2
"advocates",4
"advocating",2
"aerosol",3
"aerosols",2
"aesthetic",2
"aesthetically",4
"afar",2
"affair",1
"affecting",19
"affirm",2
"affirmation",1
"affluent",2
"afford",10
"affordable",2
"afforded",2
"aficionados",1
"afraid",12
"afresh",2
"afternoon",13
"afternoon's",1
"aged",1
"agencies",3
"agency",9
"agendas",2
"agent",8
"agents",4
"aggressively",4
"aging",16
"agitated",2
"agreed",15
"agreement",4
"agribusiness",2
"ahead",19
"aid",15
"aided",2
"aids",2
"ail",2
"ailment",1
"ailments",4
"aimed",18
"aiming",1
"aimless",2
"aims",18
"airborne",2
"aircraft",5
"airline",4
"airlines",1
"airport",4
"alarm",4
"albums",4
"algae",2
"algebra",2
"alien",4
"alighted",2
"aligned",2
"alike",2
"alive",6
"allegations",2
"alleged",1
"allergic",2
"allergies",2
"alleviate",2
"alleviating",2
"alleyways",2
"allied",2
"allocated",2
"allocations",1
"allowing",9
"ally",2
"alongside",6
"alphabetical",2
"alps",2
"alter",8
"altered",12
"altering",2
"alternate",2
"alternative",8
"alternatively",5
"alternatives",3
"altitude",4
"altogether",5
"amassed",2
"amassing",2
"amateur",8
"amazing",2
"amazon",2
"ambiguity",2
"ambiguous",1
"ambition",5
"ambitious",14
"ambulance",3
"ambulance's",1
"amid",4
"ammonium",2
"amorphous",2
"amounts",9
"amphibians",4
"amplify",1
"amuse",2
